t_half_months,t_frontier_months,sovereign_floor_pct_of_c0,sovereign_floor_closed_form_pct,sovereign_floor_h100e,cap_60mo_pct,cap_120mo_pct,frontier_share_t0,c0,afr,kappa,useful_life_years,frontier_doubling_months,domestic_per_month,leakage_per_month,utilisation_ceiling,frontier_scale,dom_growth_yr
inf,36.0,71.08975480921544,71.08975451352151,1762819.9990322306,79.41460941948291,73.53468804427078,9.920940812098706,2479710.337675429,0.1414683597920165,0.3775365416056941,5.449785688191054,5.548800915364656,28509.719489386684,7324.29284618305,1.0,249947.0952040549,0.0
30.0,39.0,27.897710991437634,27.897710991437542,976754.2862444506,34.50324717700217,28.51465940626163,31.942306348176345,3501198.6701856507,0.1469844676610863,0.40324865348351097,2.1508644467645404,5.34355027419122,27482.91100985296,10360.566594145588,1.0,109610.07736955542,0.0
inf,31.0,52.19297824830098,52.19297824129869,2110292.542372728,62.68588818920634,54.513001435422304,9.630537031559276,4043249.9029530357,0.11793394891706797,0.1580887586166701,4.527094139775048,4.933663590889005,36795.243951303506,15803.22638052203,1.0,419836.3901933301,0.0
61.0,38.0,35.08198126777577,35.08198124287171,1642476.7891925955,50.21808493853117,38.65145104681304,25.23340507354486,4681824.48606823,0.17244603341299963,0.42914350359883796,4.5105977321065716,5.215163649953788,31683.845078700924,7676.959546337753,1.0,185540.7335007964,0.0
37.0,39.0,30.996704137590935,30.996704137589465,918873.5451112507,39.41456818564655,32.0288059853925,16.800884883530134,2964423.3820230463,0.1468499042287875,0.10578085687005144,3.3460156845986724,6.0906492206824066,16296.61911227175,15396.861105311846,1.0,176444.47911961252,0.0
27.0,34.0,22.147109553992426,22.147109553992316,738866.9412615462,29.83328229178632,22.913490517785647,25.463969583573284,3336177.7502398808,0.15385224955566065,0.23852063272165855,2.516266698640839,4.9650211952447565,18614.37917342408,9448.14910813159,1.0,131015.61951252239,0.0
inf,46.0,72.81158024851247,72.81157826654186,2075750.5125403253,81.77791244147689,75.81226596853844,24.360335243294717,2850852.165899438,0.10378998820324374,0.27421883709250033,5.954276156683633,5.858236001591456,22598.78719773855,15076.378077630285,1.0,117028.44552125558,0.0
32.0,49.0,34.4035123749544,34.40351237495428,683733.1401367882,38.7655055218542,34.69502220799015,29.304024922802267,1987393.4169423433,0.08380404285138553,0.07408798142282638,2.072168616645082,6.92730605756463,22493.60710341468,7749.410058070576,1.0,67819.81049285478,0.0
inf,33.0,60.01727346757133,60.01727345254403,1040538.2839878165,69.35499748084766,62.2158620659062,5.454273398950707,1733731.3474429033,0.10226534461356458,0.15227370687595398,4.494571115027669,5.9233377977820645,15704.437536085507,9156.847882847656,1.0,317866.60121886054,0.0
inf,36.0,74.99839295572842,74.99839294180586,1525356.8298011224,80.94003367726866,76.43541835025609,8.24538213637427,2033852.686285613,0.087309889198346,0.22183322453315804,3.9538688489693192,5.855111060644195,24931.53396438043,10885.090881341805,1.0,246665.66723612839,0.0
inf,38.0,52.35799410279907,52.357986851492775,1758055.809196022,68.91923313121892,58.17770318522633,16.20821900636874,3357760.0504409624,0.09409485022973076,0.4163312008404678,5.092320873961025,5.337833829794926,18073.79831227954,12461.010687482918,1.0,207164.03505663323,0.0
inf,36.0,158.7617130982339,158.76171315457916,2182930.048731414,143.94292001268994,155.0515965860013,5.801788666451091,1374972.5964349634,0.1340725413066875,0.22805684201218396,5.161575076323046,5.61273716655877,37777.58687223403,12244.60785640115,1.0,236991.15488052127,0.0
inf,56.0,55.12861177306303,55.12861006291957,2343129.411288528,69.3230380066496,59.677417066215966,44.89389161103205,4250296.417646106,0.0657998707072297,0.43362448486228394,4.435531379347751,6.714325516259276,38612.66726727504,5409.291212382183,1.0,94674.27004260095,0.0
50.0,40.0,38.447084922946075,38.44708492294253,1572543.5846894379,46.466948211978746,39.49903799011679,44.22701606162537,4090150.36599279,0.15375924717682288,0.13343299258210403,3.476578108939019,4.956407082611697,42512.09623570834,10046.770066461339,1.0,92480.81218713977,0.0
inf,33.0,50.69630996885053,50.69630996884907,1371435.1638367712,56.804338806375796,51.46607851920035,6.251391615486128,2705197.2119458513,0.16786614149537127,0.31108598966291984,2.8205403268110265,6.1029938169922895,31718.193792711816,15205.3099545727,1.0,432735.20175003255,0.0
